,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
2,8/10/2015 10:17 PM,4730 S Kimbark,Citizen request for UCPD Response,African American,Male,Suspicious vehicle,Name checked; spoke to parents; released,No
3,8/10/2015 10:17 PM,4730 S Kimbark,Citizen request for UCPD Response,African American,Male,Suspicious vehicle,Name checked; spoke to parents; released,No
4,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15,No field interviews for 08/11/15
0,8/12/2015 3:24 PM,1157 E 47th,Citizen request for UCPD Response,African American,Male,Subject hit E-Bell and stated he was suicidal,Name checked; referred to CFD,No
1,8/13/2015 12:52 AM,901 E 58th,Citizen request for UCPD Response,African American,Male,Disturbance caused by intoxicated subject,Name checked; released; no further action,No
2,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015,No field Interviews for 08/13/2015
3,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015,No field interviews for 08/14/2015
4,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015,No field interviews for 08/15/2015
0,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015,No field interviews for 08/16/2015
1,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015,No field interviews for 08/17/2015
2,8/18/2015 6:31 PM,5600 S Lake Park,Citizen request for UCPD Response,African American,Male,Subject reported robbery but later advised he was feeling suicidal,Referred to CFD,Yes
3,8/20/2015 2:43 AM,1146 E 48th,Citizen request for UCPD Response,African American,Male,Domestic disturbance - verbal altercation,Name checked; released; no further action,No
4,8/20/2015 2:43 AM,1146 E 48th,Citizen request for UCPD Response,African American,Female,Domestic disturbance - verbal altercation,Name checked; released; no further action,No
0,8/20/2015 7:07 AM,800 E 55th St.,Citizen request for UCPD Response,African American,Male,Suspicious vehicle,Name checked; released; no further action,No
1,8/20/2015 7:07 AM,800 E 55th St.,Citizen request for UCPD Response,African American,Male,Suspicious vehicle,Name checked; released; no further action,No
2,8/21/2015 2:23 AM,4800 S Woodlawn,Citizen request for UCPD Response,African American,Male,Citizen observed a couple having a verbal altercation,Name checked; released; no further action,No
3,8/21/2015 2:23 AM,4800 S Woodlawn,Citizen request for UCPD Response,African American,Female,Citizen observed a couple having a verbal altercation,Name checked; released; no further action,No
4,8/21/2015 3:06 PM,1155 E 60th,Citizen request for UCPD Response,African American,Male,Domestic Disturbance,Name checked; released; no further action,No
0,8/21/2015 3:06 PM,1155 E 60th,Citizen request for UCPD Response,African American,Female,Domestic Disturbance,Name checked; released; no further action,No
1,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015,No field interviews for 08/22/2015
2,8/23/2015 1:54 AM,5434 S Woodlawn,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,Yes
3,8/23/2015 1:37PM,5500 S Lake Park,Citizen request for UCPD Response,African American,Male,Subject matched description for retail theft that had just occurred,Name checked; referred to CPD,No
4,8/23/2015 11:36 PM,5225 S Harper,Citizen request for UCPD Response,African American,Male,Intoxicated subject causing a disturbance,Released; no further action,No
0,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015,No field interviews for 08/24/2015
1,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015,No field interviews for 08/25/2015
2,8/26/2015 9:18 AM,929 E 57th,UCPD,African American,Male,Suspicious Person,Name checked; released; no further action,No
3,8/27/2015 9:16 AM,900 E 58th,UCPD,African American,Male,Suspicious Vehicle,Name checked; arrested,Yes
4,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015,No field interviews for 08/28/2015
0,8/29/2015 1:17 AM,5700 Ellis,Citizen request for UCPD Response,African American,Male,Subject was observed inside of illegally parked vehicle with engine running,Name checked; taken to ER,No
1,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015,No field interviews for 08/30/2015
2,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015,No field interviews for 08/31/2015
3,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015,No field interviews for 09/01/2015
4,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015,No field interviews for 09/02/2015
0,9/3/2015 6:50 PM,5700 Ellis,Citizen request for UCPD Response,Caucasian,Male,Officers responded to call regarding assault,Name checked; released; no further action,Yes
1,9/4/2015 3:51 PM,5900 S University,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
2,9/5/2015 1:52 AM,4600 S Lake Park,Citizen request for UCPD Response,African American,Male,Subject matched description of person with gun,Name checked; released; no further action,Yes
3,9/5/2015 1:52 AM,4600 S Lake Park,Citizen request for UCPD Response,African American,Male,Subject matched description of person with gun,Name checked; released; no further action,Yes
4,9/5/2015 2:38 AM,5423 S Blackstone,Citizen request for UCPD Response,Caucasian,Male,Subject described as person down possibly due to intoxication,Name checked; referred to CFD,No
0,9/6/2015 3:28 PM,1323 E 50th,Citizen request for UCPD Response,African American,Male,Suspicious Person,Name checked; released; no further action,No
1,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015,No field interviews for 09/07/2015
