,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
2,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015,No field interviews for 09/08/2015
3,9/9/2015 9:44 AM,5300 S Blackstone,UCPD,African American,Male,Suspicious Person,Name checked; released; no further action,No
4,9/10/2015 4:41 PM,1550 E. 53rd St.,Citizen request for UCPD Response,African American,Male,Disturbance,Name checked; released; no further action,Yes
0,9/10/2015 4:41 PM,1550 E. 53rd St.,Citizen request for UCPD Response,African American,Male,Disturbance,Name checked; released; no further action,No
1,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015,No field interviews for 09/11/2015
2,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015,No field interviews for 09/12/2015
3,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015,No field interviews for 09/13/2015
4,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015,No field interviews for 09/14/2015
0,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015,No field interviews for 09/15/2015
1,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015,No field interviews for 09/16/2015
2,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015,No field interviews for 09/17/2015
3,9/18/2015 12:09 PM,5700 S Payne Dr.,Citizen request for UCPD Response,African American,Male,Subject observed pulling on vehicle door handles and possibly entering vehicles,Name checked; verbal warning issued; released,No
4,9/18/2015 12:09 PM,5700 S Payne Dr.,Citizen request for UCPD Response,African American,Male,Subject observed pulling on vehicle door handles and possibly entering vehicles,Name checked; verbal warning issued; released,No
0,9/18/2015 12:09 PM,5700 S Payne Dr.,Citizen request for UCPD Response,African American,Male,Subject observed pulling on vehicle door handles and possibly entering vehicles,Name checked; verbal warning issued; released,No
1,9/18/2015 11:31 PM,901 E 58th,Citizen request for UCPD Response,African American,Male,Subject was causing a disturbance in the ER,Name checked; escorted from the facility,No
2,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015,No field interviews for 09/19/2015
3,9/20/2015 7:57 PM,5125 S Greenwood,UCPD,African American,Male,Observed by officers pulling at door handles on vehicles,Name checked; verbal warning issued; released,Yes
4,9/20/2015 7:57 PM,5125 S Greenwood,UCPD,African American,Male,Observed by officers pulling at door handles on vehicles,Name checked; verbal warning issued; released,Yes
0,9/20/2015 7:57 PM,5125 S Greenwood,UCPD,African American,Male,Observed by officers pulling at door handles on vehicles,Name checked; verbal warning issued; released,Yes
1,9/20/2015 7:57 PM,5125 S Greenwood,UCPD,African American,Male,Observed by officers pulling at door handles on vehicles,Name checked; verbal warning issued; released,Yes
2,9/20/2015 9:26 PM,55th and Hyde Park Blvd,Citizen request for UCPD Response,African American,Male,Reported as suspicious person with gun,Name checked; released; no further action,Yes
3,9/21/2015 9:41 AM,1225 E 60th,Citizen request for UCPD Response,African American,Female,Subject was observed pulling on vehicle door handles,Name checked; released; no further action,No
4,9/22/2015 11:18 AM,6100 S Ingleside,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
0,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015,No field interviews for 09/23/2015
1,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015,No field interviews for 09/24/2015
2,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015,No field interviews for 09/25/2015
3,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015,No field interviews for 09/26/2015
4,9/27/2015 9:40 AM,5100 S Dorchester,UCPD,African American,Male,Domestic dispute,Name checked; released; no further action,No
0,9/27/2015 11:26 AM,5723 S Dorchester,Citizen request for UCPD Response,Caucasian,Male,Suspicious person,Name checked; taken to ER,No
1,9/28/2015 9:29 PM,5700 Cottage Grove,UCPD,African American,Male,Officer observed subjects in a verbal altercation,Name checked; released; no further action,No
2,9/28/2015 9:29 PM,5700 Cottage Grove,UCPD,African American,Female,Officer observed subjects in a verbal altercation,Name checked; released; no further action,No
3,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015,No field interviews for 09/29/2015
4,9/30/2015 2:15 PM,212 E 56th,UCPD,African American,Male,Subject was observed riding a bike and pulling another bike,Name checked; released; no further action,No
0,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015,No field interviews for 10/01/2015
1,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015,No field interviews for 10/02/2015
2,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015,No field interviews for 10/03/2015
3,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015,No field interviews for 10/04/2015
4,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015,No field interviews for 10/05/2015
0,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015,No field interviews for 10/06/2015
1,10/7/2015 7:26 PM,1526 E 55th,Citizen request for UCPD Response,African American,Male,Disturbance in store,Name checked; banned by store; escorted off the pr,No
2,10/7/2015 11:23 PM,1414 E 59th,Citizen request for UCPD Response,African American,Male,Suspicious person,Warning issued; released,No
3,10/8/2015 9:11 PM,969 E 60th St,Citizen request for UCPD Response,Caucasian,Male,Suspicious person,Name checked; released; no further action,No
4,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015,No field interviews for 10/09/2015
0,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015,No field interviews for 10/10/2015
1,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015,No field interviews for 10/11/2015
2,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015,No field interviews for 10/12/2015
3,10/14/2015 1:06 AM,4816 S Kenwood,UCPD,African American,Male,Officer observed subject pulling on car door handles,Name checked; referred to CPD (curfew),No
4,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015,No field interviews for 10/14/2015
0,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015,No field interviews for 10/15/2015
1,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015,No field interviews for 10/16/2015
2,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015,No field interviews for 10/17/2015
3,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015,No field interviews for 10/18/2015
4,10/19/2015 8:58 PM,6100 Cottage Grove,UCPD,African American,Male,Subject matched the description of a robbery offender,"Name checked; show-up conducted, released; no furt",No
0,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015,No field interviews for 10/20/2015
1,10/21/2015 7:08 PM,5800 S Maryland,UCPD,African American,Female,Officer observed subjects in a verbal altercation,Name checked; released; no further action,No
