Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5735 S Ellis,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/15/2016,1:01 PM
61st and Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran red light,,Verbal Warning,No,4/15/2016,8:30 PM
Midway Plaisance and Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper passing,,Verbal Warning,No,4/17/2016,2:56 PM
5700 S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/21/2016,5:14 PM
5706 S University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/22/2016,4:22 PM
5700 S University,HISPANIC,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/22/2016,4:55 PM
1316 E Madison Park Ave,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,One citation issued for driving the wrong way on a one way street,Citation Issued,No,4/22/2016,5:57 PM
4700 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/22/2016,6:20 PM
5600 S Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/26/2016,4:38 AM
5400 S Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,One citation issued for improper lane usage,"Citation Issued, Arrested on Active Warrant",No,4/27/2016,1:40 PM
4100 S Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Speed,Speeding - too fast for conditions,,Verbal Warning,No,4/29/2016,8:27 PM
Midway & Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,5/1/2016,3:29 PM
5300 S Kimbark,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation - Other,Failure to yield,,Verbal Warning,No,5/2/2016,10:17 AM
6300 S Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Disobeyed no left turn sign,,Verbal Warning,No,5/4/2016,11:15 AM
